SKU,Revenue_1,GM_1,Cost_Per_Unit_1,ASP_1,GM%_1,TTL_Cost
SKU001,8425,2443.25,26.59,37.44,0.29,5981.75
SKU002,7976,2233.28,12.79,17.76,0.28,5742.72
SKU003,9408,1034.88,23.79,26.73,0.11,8373.12
SKU004,8785,439.25,23.71,24.96,0.05,8345.75
SKU005,7922,1584.4,42.82,53.53,0.2,6337.6
SKU006,660,52.8,1.64,1.78,0.08,607.2
SKU007,3373,843.25,14.54,19.39,0.25,2529.75
SKU008,5320,1223.6,8.61,11.18,0.23,4096.4
SKU009,2084,583.52,4.87,6.77,0.28,1500.48
SKU010,3804,190.2,7.72,8.13,0.05,3613.8
SKU011,4152,249.12,10.38,11.04,0.06,3902.88
SKU012,6355,635.5,11.51,12.79,0.1,5719.5
SKU013,7864,629.12,23.49,25.53,0.08,7234.88
SKU014,4720,472,23.73,26.37,0.1,4248
SKU015,8103,2187.81,23.47,32.15,0.27,5915.19
SKU016,9553,2865.9,18.27,26.1,0.3,6687.1
SKU017,162,16.2,0.63,0.7,0.1,145.8
SKU018,6813,408.78,13.48,14.34,0.06,6404.22
SKU019,7545,2263.5,16.35,23.36,0.3,5281.5
SKU020,1761,158.49,5.04,5.54,0.09,1602.51
SKU021,8510,595.7,16.25,17.47,0.07,7914.3
SKU022,4982,747.3,13.98,16.44,0.15,4234.7
SKU023,7461,1939.86,11.45,15.48,0.26,5521.14
SKU024,4171,792.49,9.01,11.12,0.19,3378.51
SKU025,4202,924.44,15.76,20.2,0.22,3277.56
SKU026,5753,1150.6,27.56,34.45,0.2,4602.4
SKU027,4166,416.6,16.02,17.8,0.1,3749.4
SKU028,4961,396.88,10.84,11.78,0.08,4564.12
SKU029,4954,990.8,22.78,28.47,0.2,3963.2
SKU030,8144,2198.88,18.07,24.75,0.27,5945.12
SKU031,4858,437.22,31.13,34.21,0.09,4420.78
SKU032,1282,141.02,3.15,3.54,0.11,1140.98
SKU033,5634,957.78,29.6,35.66,0.17,4676.22
SKU034,4348,478.28,9.72,10.92,0.11,3869.72
SKU035,1615,468.35,3.54,4.98,0.29,1146.65
SKU036,7762,853.82,18.67,20.98,0.11,6908.18
SKU037,8961,627.27,68.87,74.06,0.07,8333.73
SKU038,9630,2792.7,25.14,35.4,0.29,6837.3
SKU039,8071,807.1,20.46,22.74,0.1,7263.9
SKU040,5721,800.94,12.58,14.63,0.14,4920.06
SKU041,3891,389.1,14.65,16.28,0.1,3501.9
SKU042,6251,875.14,12.53,14.57,0.14,5375.86
SKU043,8923,1695.37,41.3,50.99,0.19,7227.63
SKU044,3364,874.64,14.82,20.02,0.26,2489.36
SKU045,1910,553.9,6.16,8.68,0.29,1356.1
SKU046,6905,1726.25,14,18.66,0.25,5178.75
SKU047,9923,2083.83,17.5,22.15,0.21,7839.17
SKU048,2294,389.98,4.69,5.65,0.17,1904.02
SKU049,1676,251.4,4.8,5.64,0.15,1424.6
SKU050,2548,305.76,4.78,5.43,0.12,2242.24
SKU051,976,58.56,2.95,3.14,0.06,917.44
SKU052,3331,433.03,9.47,10.89,0.13,2897.97
SKU053,6922,1868.94,12.29,16.84,0.27,5053.06
SKU054,8641,432.05,28.31,29.8,0.05,8208.95
SKU055,8327,1498.86,19.45,23.72,0.18,6828.14
SKU056,4835,1402.15,6.94,9.77,0.29,3432.85
SKU057,6723,1075.68,26.64,31.71,0.16,5647.32
SKU058,9221,1383.15,18.1,21.3,0.15,7837.85
SKU059,8672,2081.28,26.05,34.28,0.24,6590.72
SKU060,619,92.85,3.58,4.21,0.15,526.15
SKU061,2588,129.4,8.42,8.86,0.05,2458.6
SKU062,1230,307.5,1.87,2.49,0.25,922.5
SKU063,7179,1292.22,38.48,46.92,0.18,5886.78
SKU064,2941,352.92,13.34,15.16,0.12,2588.08
SKU065,8131,1870.13,19.57,25.41,0.23,6260.87
SKU066,9136,1370.4,16.31,19.19,0.15,7765.6
SKU067,7571,681.39,14.5,15.94,0.09,6889.61
SKU068,2397,479.4,10.71,13.39,0.2,1917.6
SKU069,1906,304.96,6.59,7.84,0.16,1601.04
SKU070,6809,1293.71,22.98,28.37,0.19,5515.29
SKU071,8188,818.8,23.1,25.67,0.1,7369.2
SKU072,6967,696.7,20.76,23.07,0.1,6270.3
SKU073,641,141.02,1.31,1.68,0.22,499.98
SKU074,1085,97.65,3.24,3.56,0.09,987.35
SKU075,8831,706.48,17.29,18.79,0.08,8124.52
SKU076,205,30.75,0.85,1,0.15,174.25
SKU077,5271,1159.62,11.61,14.89,0.22,4111.38
SKU078,4313,862.6,15.68,19.6,0.2,3450.4
SKU079,9431,1414.65,41.97,49.38,0.15,8016.35
SKU080,1843,405.46,3.13,4.02,0.22,1437.54
SKU081,6099,1829.7,38.81,55.45,0.3,4269.3
SKU082,7201,792.11,16.02,18,0.11,6408.89
SKU083,6216,1367.52,13.89,17.81,0.22,4848.48
SKU084,858,42.9,2.1,2.21,0.05,815.1
SKU085,5725,858.75,48.18,56.68,0.15,4866.25
SKU086,3418,512.7,7.25,8.52,0.15,2905.3
SKU087,3336,500.4,7.9,9.29,0.15,2835.6
SKU088,959,67.13,8.11,8.72,0.07,891.87
SKU089,7073,2121.9,10.65,15.21,0.3,4951.1
SKU090,1063,74.41,7.27,7.82,0.07,988.59
SKU091,4594,551.28,15.31,17.4,0.12,4042.72
SKU092,1765,264.75,6.3,7.42,0.15,1500.25
SKU093,6739,1280.41,31.92,39.41,0.19,5458.59
SKU094,278,55.6,1.24,1.55,0.2,222.4
SKU095,1025,174.25,2.91,3.51,0.17,850.75
SKU096,2800,700,7.12,9.49,0.25,2100
SKU097,4985,997,11.3,14.12,0.2,3988
SKU098,6462,1680.12,17.26,23.33,0.26,4781.88
SKU099,9413,2353.25,41.29,55.05,0.25,7059.75
SKU100,4164,832.8,9.49,11.86,0.2,3331.2
SKU101,8253,990.36,56.74,64.48,0.12,7262.64
SKU102,9798,2449.5,15.54,20.71,0.25,7348.5
SKU103,393,113.97,1.48,2.09,0.29,279.03
SKU104,6408,1281.6,22.39,27.98,0.2,5126.4
SKU105,9062,906.2,33.56,37.29,0.1,8155.8
SKU106,1188,190.08,2.18,2.6,0.16,997.92
SKU107,6386,383.16,20.42,21.72,0.06,6002.84
SKU108,874,61.18,1.94,2.09,0.07,812.82
SKU109,6182,1050.94,42.06,50.67,0.17,5131.06
SKU110,775,77.5,2.67,2.97,0.1,697.5
SKU111,4235,211.75,34.98,36.83,0.05,4023.25
SKU112,1846,516.88,3.5,4.86,0.28,1329.12
SKU113,1518,349.14,5.08,6.6,0.23,1168.86
SKU114,5082,508.2,11.91,13.23,0.1,4573.8
SKU115,2475,495,15,18.75,0.2,1980
SKU116,5876,1586.52,37.63,51.54,0.27,4289.48
SKU117,6008,1261.68,34.64,43.85,0.21,4746.32
SKU118,3564,819.72,15.68,20.37,0.23,2744.28
SKU119,7595,2202.55,21.06,29.67,0.29,5392.45
